program,dataset,iteration,time
warshall_openmp,inputfile500.txt,1,4.26309
warshall_openmp,inputfile500.txt,2,3.88172
warshall_openmp,inputfile500.txt,3,3.83251
warshall_openmp,inputfile500.txt,4,3.86831
warshall_openmp,inputfile500.txt,5,3.79713
warshall_openmp,inputfile1000.txt,1,10.2868
warshall_openmp,inputfile1000.txt,2,10.0839
warshall_openmp,inputfile1000.txt,3,10.1001
warshall_openmp,inputfile1000.txt,4,10.1299
warshall_openmp,inputfile1000.txt,5,10.1023
warshall_openmp,inputfile2000.txt,1,43.5469
warshall_openmp,inputfile2000.txt,2,42.3057
warshall_openmp,inputfile2000.txt,3,41.2909
warshall_openmp,inputfile2000.txt,4,44.2791
warshall_openmp,inputfile2000.txt,5,40.9152
warshall_openmp,inputfile4000.txt,1,257.293
warshall_openmp,inputfile4000.txt,2,269.578
warshall_openmp,inputfile4000.txt,3,274.413
warshall_openmp,inputfile4000.txt,4,256.446
warshall_openmp,inputfile4000.txt,5,262.862
warshall_openmp,inputfile8000.txt,1,1892.71
warshall_openmp,inputfile8000.txt,2,1896.25
warshall_openmp,inputfile8000.txt,3,1890.93
warshall_openmp,inputfile8000.txt,4,1888.97
warshall_openmp,inputfile8000.txt,5,1877.44
